country,year,projected_cases,lower_ci,upper_ci
Zambia,2029,57533.7,6125.6,540374.3
Zambia,2030,59197.0,5309.7,659977.1
Zimbabwe,2024,16682.1,4085.5,68117.6
Zimbabwe,2025,15670.2,3264.8,75212.4
Zimbabwe,2026,14719.7,2600.7,83310.8
Zimbabwe,2027,13826.8,2066.8,92498.8
Zimbabwe,2028,12988.1,1639.6,102883.4
Zimbabwe,2029,12200.3,1298.9,114592.1
Zimbabwe,2030,11460.3,1027.9,127772.2
"occupied Palestinian territory, including east Jerusalem",2024,16.6,3.7,75.3
"occupied Palestinian territory, including east Jerusalem",2025,15.1,2.7,83.1
"occupied Palestinian territory, including east Jerusalem",2026,13.8,2.1,92.2
"occupied Palestinian territory, including east Jerusalem",2027,12.5,1.5,102.7
"occupied Palestinian territory, including east Jerusalem",2028,11.4,1.1,114.7
"occupied Palestinian territory, including east Jerusalem",2029,10.4,0.8,128.4
"occupied Palestinian territory, including east Jerusalem",2030,9.5,0.6,144.0
