country,year,projected_cases,lower_ci,upper_ci
Chile,2026,3263.5,576.5,18475.6
Chile,2027,3340.9,499.3,22356.2
Chile,2028,3420.1,431.6,27100.4
Chile,2029,3501.2,372.6,32896.6
Chile,2030,3584.2,321.4,39976.0
China,2024,523319.0,128165.9,2136784.4
China,2025,499124.9,103994.6,2395563.2
China,2026,476049.3,84113.8,2694243.6
China,2027,454040.6,67873.6,3037307.8
China,2028,433049.4,54671.3,3430169.9
China,2029,413028.6,43976.3,3879198.3
China,2030,393933.4,35335.0,4391782.3
"China, Hong Kong SAR",2024,2964.3,720.1,12202.8
"China, Hong Kong SAR",2025,2837.1,583.4,13795.7
"China, Hong Kong SAR",2026,2715.3,471.0,15655.0
"China, Hong Kong SAR",2027,2598.7,379.1,17813.7
"China, Hong Kong SAR",2028,2487.2,304.6,20312.1
"China, Hong Kong SAR",2029,2380.4,244.3,23197.7
"China, Hong Kong SAR",2030,2278.2,195.7,26526.5
"China, Macao SAR",2024,281.8,68.9,1153.1
"China, Macao SAR",2025,273.2,56.8,1314.7
"China, Macao SAR",2026,265.0,46.7,1503.7
"China, Macao SAR",2027,256.9,38.3,1724.0
"China, Macao SAR",2028,249.2,31.4,1980.1
"China, Macao SAR",2029,241.6,25.6,2277.4
"China, Macao SAR",2030,234.3,20.9,2622.1
Colombia,2024,17846.0,4370.5,72870.9
Colombia,2025,18644.6,3884.5,89489.9
Colombia,2026,19479.0,3441.6,110249.4
Colombia,2027,20350.7,3042.0,136144.9
Colombia,2028,21261.5,2684.0,168422.9
Colombia,2029,22213.0,2364.9,208641.5
Colombia,2030,23207.0,2081.5,258745.4
Comoros,2024,119.1,25.3,561.3
Comoros,2025,120.6,21.6,673.2
Comoros,2026,122.1,18.4,810.8
Comoros,2027,123.6,15.6,979.3
Comoros,2028,125.1,13.2,1185.5
Comoros,2029,126.7,11.2,1437.8
Comoros,2030,128.3,9.4,1746.1
Congo,2024,19088.4,4542.8,80208.2
Congo,2025,21241.3,4251.6,106122.4
Congo,2026,23637.1,3964.0,140945.6
Congo,2027,26303.1,3685.6,187717.6
Congo,2028,29269.7,3419.6,250532.3
Congo,2029,32571.0,3167.7,334900.6
Congo,2030,36244.6,2930.7,448239.4
Costa Rica,2024,415.7,65.8,2626.1
Costa Rica,2025,415.3,53.9,3202.3
Costa Rica,2026,414.9,44.0,3915.1
Costa Rica,2027,414.5,35.8,4795.9
Costa Rica,2028,414.0,29.1,5883.6
Costa Rica,2029,413.6,23.7,7226.7
Costa Rica,2030,413.2,19.2,8884.6
Croatia,2024,212.9,52.0,871.5
Croatia,2025,195.9,40.7,943.2
Croatia,2026,180.4,31.8,1024.0
Croatia,2027,166.0,24.7,1114.3
Croatia,2028,152.8,19.2,1214.8
Croatia,2029,140.6,14.9,1326.1
Croatia,2030,129.4,11.6,1449.3
Cuba,2024,693.2,169.6,2833.1
Cuba,2025,691.2,143.9,3321.3
Cuba,2026,689.3,121.6,3906.1
Cuba,2027,687.4,102.6,4604.7
Cuba,2028,685.5,86.4,5437.8
Cuba,2029,683.6,72.7,6430.7
Cuba,2030,681.7,61.0,7613.0
Cyprus,2024,83.2,20.2,343.0
Cyprus,2025,87.3,18.0,423.7
Cyprus,2026,91.6,16.0,525.0
Cyprus,2027,96.1,14.2,652.1
Cyprus,2028,100.9,12.5,811.5
Cyprus,2029,105.9,11.1,1011.3
Cyprus,2030,111.1,9.8,1261.5
Czechia,2024,381.2,93.2,1559.1
Czechia,2025,371.1,77.2,1784.6
Czechia,2026,361.3,63.7,2049.1
Czechia,2027,351.7,52.5,2358.3
Czechia,2028,342.4,43.1,2719.1
Czechia,2029,333.4,35.4,3139.5
Czechia,2030,324.6,29.0,3628.8
Côte d'Ivoire,2024,20707.9,5071.4,84555.8
Côte d'Ivoire,2025,20568.3,4285.3,98721.7
Côte d'Ivoire,2026,20429.7,3609.6,115628.4
Côte d'Ivoire,2027,20292.0,3033.3,135749.6
Côte d'Ivoire,2028,20155.3,2544.4,159656.9
Côte d'Ivoire,2029,20019.5,2131.4,188034.0
Côte d'Ivoire,2030,19884.6,1783.5,221695.9
Democratic People's Republic of Korea,2024,81438.7,19876.8,333668.7
Democratic People's Republic of Korea,2025,79741.2,16578.0,383560.9
Democratic People's Republic of Korea,2026,78079.1,13777.7,442480.0
Democratic People's Republic of Korea,2027,76451.7,11420.3,511794.0
Democratic People's Republic of Korea,2028,74858.1,9447.5,593148.0
Democratic People's Republic of Korea,2029,73297.8,7803.3,688496.5
Democratic People's Republic of Korea,2030,71770.0,6437.5,800145.9
Democratic Republic of the Congo,2024,280049.0,68586.5,1143481.8
Democratic Republic of the Congo,2025,305937.8,63743.2,1468360.7
Democratic Republic of the Congo,2026,334219.9,59053.6,1891553.2
Democratic Republic of the Congo,2027,365116.5,54580.3,2442457.8
Democratic Republic of the Congo,2028,398869.2,50355.9,3159442.6
Democratic Republic of the Congo,2029,435742.2,46394.4,4092544.4
Democratic Republic of the Congo,2030,476023.9,42698.1,5306996.5
Denmark,2024,176.9,43.2,724.9
Denmark,2025,166.9,34.6,804.1
Denmark,2026,157.5,27.7,894.7
Denmark,2027,148.5,22.1,998.0
Denmark,2028,140.1,17.6,1115.2
Denmark,2029,132.2,14.0,1247.8
Denmark,2030,124.7,11.1,1397.8
Djibouti,2024,1648.6,303.0,8969.9
Djibouti,2025,1640.9,249.5,10793.4
Djibouti,2026,1633.3,204.9,13022.5
Djibouti,2027,1625.7,167.9,15743.4
Djibouti,2028,1618.2,137.4,19061.8
Djibouti,2029,1610.7,112.3,23107.3
Djibouti,2030,1603.2,91.7,28037.8
Dominican Republic,2024,4504.7,1103.0,18396.4
Dominican Republic,2025,4658.8,970.5,22364.3
Dominican Republic,2026,4818.2,851.1,27274.8
Dominican Republic,2027,4983.0,744.7,33341.8
Dominican Republic,2028,5153.5,650.4,40831.2
Dominican Republic,2029,5329.8,567.3,50072.1
Dominican Republic,2030,5512.1,494.3,61471.1
Ecuador,2024,6654.1,1564.3,28305.2
Ecuador,2025,6826.7,1365.3,34135.2
Ecuador,2026,7003.9,1187.7,41302.5
Ecuador,2027,7185.6,1030.6,50098.0
Ecuador,2028,7372.1,892.7,60880.9
Ecuador,2029,7563.3,772.1,74092.8
Ecuador,2030,7759.6,667.0,90276.2
Egypt,2024,8622.0,2111.4,35207.7
Egypt,2025,8699.7,1812.4,41758.3
Egypt,2026,8778.1,1550.9,49685.6
Egypt,2027,8857.2,1323.9,59257.1
Egypt,2028,8937.1,1128.1,70798.8
Egypt,2029,9017.6,960.0,84705.3
Egypt,2030,9098.9,816.0,101453.7
El Salvador,2024,4096.0,1002.9,16728.0
El Salvador,2025,4309.4,897.7,20687.9
El Salvador,2026,4533.9,800.9,25666.7
El Salvador,2027,4770.1,712.9,31918.9
El Salvador,2028,5018.6,633.4,39764.9
El Salvador,2029,5280.1,562.0,49608.1
El Salvador,2030,5555.2,498.1,61955.2
Equatorial Guinea,2024,3723.4,853.3,16247.5
Equatorial Guinea,2025,4268.4,814.6,22365.6
Equatorial Guinea,2026,4893.3,774.8,30906.5
Equatorial Guinea,2027,5609.7,734.8,42828.6
Equatorial Guinea,2028,6431.0,695.4,59473.3
Equatorial Guinea,2029,7372.5,657.1,82717.8
Equatorial Guinea,2030,8451.8,620.1,115189.3
Eritrea,2024,1779.0,435.6,7266.7
Eritrea,2025,1723.5,359.0,8275.2
Eritrea,2026,1669.7,294.9,9453.7
Eritrea,2027,1617.5,241.7,10825.6
Eritrea,2028,1567.0,197.7,12418.6
Eritrea,2029,1518.1,161.5,14265.8
